OccupationTitle,MedianWeeklySalary
Production occupations,723
First-line supervisors of production and operating workers,980
Aircraft structure surfaces rigging and systems assemblers,-
Electrical electronics and electromechanical assemblers,605
Engine and other machine assemblers,-
Structural metal fabricators and fitters,-
Miscellaneous assemblers and fabricators,663
Bakers,549
Butchers and other meat poultry and fish processing workers,606
Food and tobacco roasting baking and drying machine operators and tenders,-
Food batchmakers,557
Food cooking machine operators and tenders,-
Food processing workers all other,624
Computer control programmers and operators,882
Extruding and drawing machine setters operators and tenders metal and plastic,-
Forging machine setters operators and tenders metal and plastic,-
Rolling machine setters operators and tenders metal and plastic,-
Cutting punching and press machine setters operators and tenders metal and plastic,745
Drilling and boring machine tool setters operators and tenders metal and plastic,-
Grinding lapping polishing and buffing machine tool setters operators and tenders metal and plastic,-
Lathe and turning machine tool setters operators and tenders metal and plastic,-
Milling and planing machine setters operators and tenders metal and plastic,-
Machinists,863
Metal furnace operators tenders pourers and casters,-
Model makers and patternmakers metal and plastic,-
Molders and molding machine setters operators and tenders metal and plastic,-
Multiple machine tool setters operators and tenders metal and plastic,-
Tool and die makers,-
Welding soldering and brazing workers,840
Heat treating equipment setters operators and tenders metal and plastic,-
Layout workers metal and plastic,-
Plating and coating machine setters operators and tenders metal and plastic,-
Tool grinders filers and sharpeners,-
Metal workers and plastic workers all other,698
Prepress technicians and workers,-
Printing press operators,754
Print binding and finishing workers,-
Laundry and dry-cleaning workers,432
Pressers textile garment and related materials,-
Sewing machine operators,498
Shoe and leather workers and repairers,-
Shoe machine operators and tenders,-
Tailors dressmakers and sewers,-
Textile bleaching and dyeing machine operators and tenders,-
Textile cutting machine setters operators and tenders,-
Textile knitting and weaving machine setters operators and tenders,-
Textile winding twisting and drawing out machine setters operators and tenders,-
Extruding and forming machine setters operators and tenders synthetic and glass fibers,-
Fabric and apparel patternmakers,-
Upholsterers,-
Textile apparel and furnishings workers all other,-
Cabinetmakers and bench carpenters,-
Furniture finishers,-
Model makers and patternmakers wood,-
Sawing machine setters operators and tenders wood,-
Woodworking machine setters operators and tenders except sawing,-
Woodworkers all other,-
Power plant operators distributors and dispatchers,-
Stationary engineers and boiler operators,1073
Water and wastewater treatment plant and system operators,943
Miscellaneous plant and system operators,-
Chemical processing machine setters operators and tenders,894
Crushing grinding polishing mixing and blending workers,672
Cutting workers,595
Extruding forming pressing and compacting machine setters operators and tenders,-
Furnace kiln oven drier and kettle operators and tenders,-
Inspectors testers sorters samplers and weighers,771
Jewelers and precious stone and metal workers,-
Medical dental and ophthalmic laboratory technicians,741
Packaging and filling machine operators and tenders,529
Painting workers,710
Photographic process workers and processing machine operators,-
Semiconductor processors,-
Adhesive bonding machine operators and tenders,-
Cleaning washing and metal pickling equipment operators and tenders,-
Cooling and freezing equipment operators and tenders,-
Etchers and engravers,-
Molders shapers and casters except metal and plastic,-
Paper goods machine setters operators and tenders,-
Tire builders,-
Helpers--production workers,-
Production workers all other,678
Transportation and material moving occupations,689
Supervisors of transportation and material moving workers,850
Aircraft pilots and flight engineers,1743
Air traffic controllers and airfield operations specialists,-
Flight attendants,878
Ambulance drivers and attendants except emergency medical technicians,-
Bus drivers,655
Driver/sales workers and truck drivers,817
Taxi drivers and chauffeurs,611
Motor vehicle operators all other,-
Locomotive engineers and operators,-
Railroad brake signal and switch operators,-
Railroad conductors and yardmasters,1132
Subway streetcar and other rail transportation workers,-
Sailors and marine oilers,-
Ship and boat captains and operators,-
Ship engineers,-
Bridge and lock tenders,-
Parking lot attendants,575
Automotive and watercraft service attendants,570
Transportation inspectors,-
Transportation attendants except flight attendants,-
Other transportation workers,-
Conveyor operators and tenders,-
Crane and tower operators,1122
Dredge excavating and loading machine operators,-
Hoist and winch operators,-
Industrial truck and tractor operators,641
Cleaners of vehicles and equipment,538
Laborers and freight stock and material movers hand,603
Machine feeders and offbearers,-
Packers and packagers hand,495
Pumping station operators,-
Refuse and recyclable material collectors,524
Mine shuttle car operators,-
Tank car truck and ship loaders,-
Material moving workers all other,-
info2-scrub.html:5745:29
